trim3 reads
P01-01-D-n08_gi_fwd-n09_gi_rev 3
P01-01-C-n04_fun_fwd-n05_fun_rev 23
P01-01-F-n06_fun_fwd-n05_fun_rev 34
P01-01-F-n04_fun_fwd-n01_fun_rev 3
P01-01-B-n06_fun_fwd-n06_fun_rev 4083
P01-01-G-n05_fun_fwd-n04_fun_rev 10
P01-01-F-n05_fun_fwd-n03_fun_rev 2
P01-01-G-n06_gi_fwd-n07_gi_rev 7
P01-01-H-n03_fun_fwd-n04_fun_rev 6
P01-01-F-n04_gi_fwd-n07_gi_rev 2
